# ----------------------------------------
# Gorilla Gadgets
# User Explorer
# 20210801-20210906
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1610614498.1629001212,1,00:00:00,100.00%,$0.00,0,0.00%
1610710788.1628570948,1,00:00:00,100.00%,$0.00,0,0.00%
1611028320.1629135326,1,00:00:00,100.00%,$0.00,0,0.00%
1611153973.1629612895,1,00:00:00,100.00%,$0.00,0,0.00%
1611437408.1628804658,1,00:00:00,100.00%,$0.00,0,0.00%
1611467230.1628688129,1,00:00:00,100.00%,$0.00,0,0.00%
1612380225.1630354968,1,00:00:00,100.00%,$0.00,0,0.00%
161310481.1629341000,1,00:00:00,100.00%,$0.00,0,0.00%
161326563.1628080902,1,00:00:00,100.00%,$0.00,0,0.00%
1613554345.1628477335,1,00:00:00,100.00%,$0.00,0,0.00%
1613928846.1627840042,1,00:00:00,100.00%,$0.00,0,0.00%
1614183187.1629813628,1,00:00:00,100.00%,$0.00,0,0.00%
1614235055.1628013384,1,00:00:00,100.00%,$0.00,0,0.00%
1614417191.1629904028,1,00:00:00,100.00%,$0.00,0,0.00%
1614496946.1629025568,1,00:00:00,100.00%,$0.00,0,0.00%
1614725248.1629919150,1,00:02:19,0.00%,$0.00,0,0.00%
1614787973.1628144530,1,00:00:00,100.00%,$0.00,0,0.00%
161490185.1628236141,1,00:00:00,100.00%,$0.00,0,0.00%
161522137.1628097335,1,00:00:00,100.00%,$0.00,0,0.00%
1615423815.1628223600,1,00:00:00,100.00%,$0.00,0,0.00%
1615750164.1629871280,1,00:00:00,100.00%,$0.00,0,0.00%
161585560.1629327246,1,00:00:00,100.00%,$0.00,0,0.00%
1616224465.1629337507,1,00:02:47,0.00%,$15.65,1,0.00%
1616322552.1629572339,1,00:00:00,100.00%,$0.00,0,0.00%
1616637099.1628877244,1,00:00:00,100.00%,$0.00,0,0.00%
1617096681.1627860571,1,00:00:00,100.00%,$0.00,0,0.00%
1617109150.1628026504,1,00:00:11,0.00%,$0.00,0,0.00%
1617204091.1629654183,1,00:00:18,0.00%,$0.00,0,0.00%
1617593093.1628350533,1,00:00:00,100.00%,$0.00,0,0.00%
1617675938.1628029047,1,00:00:00,100.00%,$0.00,0,0.00%
1618307217.1628215808,1,00:00:49,0.00%,$0.00,0,0.00%
1618346223.1630384078,1,00:01:57,0.00%,$0.00,0,0.00%
1618490423.1630817142,1,00:00:00,100.00%,$0.00,0,0.00%
